Country,Dissatisfied,2,3,4,5,6,7,8,9,Satisfied,Inapplicable,NA,DK,(N),Mean,Standard Deviation,Base mean
Total,3.1,2,3.9,5.2,11.6,10.9,16.8,21.3,11,13.5,0,0.4,0.4,53.34.00,6.9,02.28,47.53.00
Argentina,0.4,0.4,1.1,3,6,11.1,22.4,30.2,13.9,10.5,0,0.8,0.2,01.03,07.49,02.03,01.19
Australia,1,2.3,3.8,4.8,8.4,7.2,16.6,29.2,16,10,0,0.8,0,08.57,7.2,02.05,08.45
Chile,0.6,0.9,2.1,4.1,8,12.6,21,26.1,12.3,11.1,0,1.2,0,1,07.27,02.22,988
China,1.1,1.8,3.3,5.9,11.8,13.1,18.3,24.7,10.3,7.8,0,1.4,0.4,2.3,07.25,02.38,06.17
Taiwan,2.5,1.1,3.4,2.2,14.1,14.6,17.6,23.8,7.9,11.2,0,0.1,1.7,04.58,6.9,02.06,04.36
Colombia,0.5,0.4,1.1,1.7,5.2,4.4,10.3,22.7,16.3,37.5,0,0,0,09.32,08.39,02.19,09.32
Georgia,7.1,5.1,10.1,9.7,25,8,13.3,10.4,3.5,7.7,0,0,0.2,04.22,05.45,02.43,1.2
India,3.1,2.5,3.8,8.2,14.3,15.8,17.3,13.6,8.7,12.1,0,0.6,0,05.18,06.52,02.28,04.54
Japan,1.3,1.1,3.5,5.8,12.1,11,18.4,25.4,11.1,7.9,0,0,2.5,09.23,07.31,02.38,08.21
South Korea,1.1,0.3,4.4,5.5,19.6,14.5,21.8,19,7.8,4.3,0,1.6,0,1.2,06.51,02.22,04.01
Mexico,1.4,1.2,0.6,1.4,4.1,3.4,7,21,16.4,43.5,0,0,0,2,08.51,02.33,2
New Zealand,1.1,1,2.4,2.9,5.9,8.6,15,27.8,16.2,17.8,0,0.2,1.2,841,08.05,02.34,829
Nigeria,3.4,4.7,6.9,10.4,10.2,11.4,18,18.1,9.1,7.8,0,0,0,13.39,06.25,02.38,13.39
Pakistan,1.9,0.6,2.4,4.7,5.4,12.1,15.5,19.8,17.3,20.3,0,0,0,1.2,07.54,2.1,1.2
Peru,1.7,1.7,2.1,4,14.6,12.9,17.7,15.8,8.3,20.8,0,0.2,0.2,01.21,07.14,02.19,04.26
Philippines,8.1,1.1,2.8,2,13.7,6.9,8,13.7,6.7,37.1,0,0,0,1.2,07.33,03.24,1.2
Poland,2.2,0.7,1.5,3.7,14.3,10.2,18.1,27.4,11.7,10.2,0,0,0.1,966,07.09,02.37,965
Romania,5.3,2.3,3.5,4.4,12.7,11.1,18.5,20.1,8.1,13.2,0,0.1,0.7,09.23,07.09,02.39,09.11
Russia,3.1,3.2,5.3,7.6,18.7,14.6,16.4,16.6,6.4,6.6,0.1,0.2,1.2,2.5,06.17,02.18,09.44
Slovenia,0.7,0.7,3,2.7,11.8,10.9,14.1,26.3,15.2,13.7,0,0.7,0,02.09,07.35,02.34,02.01
South Africa,4.1,2.5,4.3,6.2,11.7,12.2,18,20.2,10,10.4,0,0,0.3,11.51,07.03,02.31,11.39
Spain,0.9,0.9,2.3,4.6,13.6,15,25.2,22.8,7.3,5.8,0,1.2,0.6,04.09,07.19,02.15,03.48
Sweden,0.4,0.3,2.2,2.9,7.5,6.7,21.6,30.4,16.2,11.7,0,0.1,0,04.26,07.55,02.11,04.24
Turkey,2.2,1.7,2.6,3.6,8.2,10.7,19.4,22.7,14.8,14,0,0.1,0.1,11.05,07.24,2.1,11.01
Ukraine,6.9,4,8.4,6.8,16.3,12.4,14.6,17,6.8,6.8,0,0,0,1.5,5.9,02.46,1.5
Egypt,19.6,6.6,13.9,6.2,9.8,7.9,12.5,14.6,4.1,4.9,0,0,0,09.43,05.25,03.24,09.43
United States,1.2,1.3,2.5,4.5,7.2,7.2,17.1,30.1,18.9,9.3,0,0.6,0,05.52,07.37,02.32,05.38
Uruguay,2.2,1.7,1.1,1.4,6.7,8.5,17.9,26.1,14.9,18.6,0,0.5,0.4,1,7.6,02.02,991
