Country,Dissatisfied,2,3,4,5,6,7,8,9,Satisfied,NA,DK,(N),Mean,Standard Deviation,Base mean
Total,4.6,6.7,6.4,5.6,16.6,10.3,12.2,12.8,11,12.1,1.7,0,36.35.00,06.23,03.01,43.28.00
Argentina,3.1,1,2.1,3.7,10.9,9.9,14.9,21.3,10.6,21.6,0.9,0,01.28,07.33,02.26,05.29
Chile,1.2,0.8,4,5.3,12.5,13,16.4,18.5,8.5,19.2,0.6,0,1.2,07.12,02.16,04.12
China,3.4,4.9,5.9,4.5,13.4,14.1,13.1,17.4,8.3,14.1,0,0.9,1,06.53,02.47,991
India,6,0,22.7,0,42.7,0,18.1,0,0,9.4,1.1,0,02.02,05.14,02.23,02.38
Japan,1.6,2.1,4.8,6,12.9,17.9,16.1,24,6.7,4.6,3.4,0,07.02,06.48,02.37,06.16
South Korea,4.5,2.1,6.1,7.8,16.8,14.2,15.8,13.5,8.3,8.7,2.2,0,1.2,06.21,02.32,03.53
Mexico,3.9,0.8,1.6,1.5,7.8,4.5,7.7,14.9,11.5,43.6,2.3,0,09.55,08.13,2.4,1.5
Moldova,13.1,7,10.6,15.6,20.6,11.8,7.1,6,2.3,3.1,2.9,0,01.08,04.57,02.32,978
Nigeria,2.7,3.4,4.9,5.3,8.6,11.3,17.4,20.3,13.8,12.2,0,0,02.22,07.27,02.32,02.22
Pakistan,0.9,4.8,11.6,7.8,35.9,15.5,4.2,3.6,0.4,0,15.4,0,2,05.25,01.46,12.33
Peru,4.1,2.2,4.7,7.2,18.7,12.7,14.5,14.7,5.9,14.7,0.7,0,09.21,06.44,2.4,01.49
Philippines,5.2,2.9,3.2,5.5,16.3,13.6,11.4,14.3,9.6,18.2,0,0,1.2,07.07,02.54,1.2
South Africa,7.9,5.9,8.3,8.5,18.7,8.7,12.5,10.2,5.2,14.1,0.1,0,3,06.21,03.12,18.37
Spain,0.8,0.7,2.3,2.8,13.9,15.7,23.9,20.5,8.9,10.2,0.3,0,04.29,07.39,02.22,04.25
Sweden,0.5,0.8,2.2,3.9,6.2,6.8,16.5,30,16.6,16.3,0.3,0,01.14,08.05,02.25,01.11
Turkey,10.3,3.2,6,8.6,20.7,10.9,10.5,11.1,5.6,13,0,0,09.41,06.21,2.7,09.41
Egypt,2.3,42.8,2.4,2.2,0,6.7,0,0,43.3,0.1,0.1,0,3,05.36,03.35,18.38
United States,0.9,0.5,1.9,2.6,7.1,8.3,18.3,25.2,19.3,15.9,0,0,1.2,08.05,02.24,1.2
Serbia,7.2,5.2,8.9,7.9,21.6,9,13.4,13.4,7,5.6,0.8,0,1.2,06.02,02.47,04.11
